BOCC Report,Duplicate / Different Acc/ WSH / Near Miss / Need Not Report,Time of Accident,Date of Accident,Service No,Employee No,Date approved,"[Auto]
Overall Case status",LTA Ref No,"[Auto]
Lead Time Submitted Cases","[Auto] 
CCTV Lead Time - Received","[Auto]
CCTV Lead Time - Pending","[Auto]
Today's Date",Date approved.1
424036,,16:45:00,2024-01-16 00:00:00,307A,35261,Yes,No,,2.0,Not Applicable,81,2024-05-08 15:00:45.400,
427428,,08:01:00,2024-01-02 00:00:00,187,73791,Yes,No,,4.0,Not Applicable,92,2024-05-08 15:00:45.390,
427587,,16:38:00,2024-01-03 00:00:00,979,72265,Yes,No,,1.0,Not Applicable,90,2024-05-08 15:00:45.390,
427973,,14:06:00,2024-01-07 00:00:00,976,35089,Yes,No,,1.0,Not Applicable,88,2024-05-08 15:00:45.390,
428347,,13:30:00,2024-01-10 00:00:00,187,34965,Yes,No,,1.0,Not Applicable,86,2024-05-08 15:00:45.400,
428399,,05:20:00,2024-01-11 00:00:00,184,19279,Yes,No,,1.0,Not Applicable,85,2024-05-08 15:00:45.400,
428464,,15:05:00,2024-01-11 00:00:00,900,34246,Yes,No,,1.0,Not Applicable,85,2024-05-08 15:00:45.390,
428505,Duplicate ,21:01:00,2024-01-11 00:00:00,913,67704,Yes,No,,1.0,Not Applicable,84,2024-05-08 15:00:45.470,
428591,,15:45:00,2024-01-12 00:00:00,976,35745,Yes,No,,1.0,Not Applicable,83,2024-05-08 15:00:45.490,
428805,,20:25:00,2024-01-14 00:00:00,190,12056,Yes,No,,14.0,Not Applicable,83,2024-05-08 15:00:45.510,
428859,,13:06:00,2024-01-15 00:00:00,307T,33353,Yes,No,,2.0,Not Applicable,83,2024-05-08 15:00:45.410,
429137,,18:52:00,2024-01-17 00:00:00,75,35752,Yes,No,,2.0,Not Applicable,77,2024-05-08 15:00:45.390,
429150,,00:36:00,2024-01-18 00:00:00,960,67654,Yes,No,,5.0,Not Applicable,77,2024-05-08 15:00:45.390,
429271,CAT 1,01:20:00,2024-01-19 00:00:00,970,20009,Yes,No,,6.0,Not Applicable,77,2024-05-08 15:00:45.400,
429381,,18:25:00,2024-01-19 00:00:00,979,22605,Yes,No,,5.0,Not Applicable,77,2024-05-08 15:00:45.390,
429444,,10:37:00,2024-01-20 00:00:00,922,23077,Yes,No,,5.0,Not Applicable,77,2024-05-08 15:00:45.470,
430571,Duplicate ,14:58:00,2024-01-21 00:00:00,972M,25463,Yes,No,,1.0,Not Applicable,77,2024-05-08 15:00:45.410,
