Driver,Operation line,Alarm type,speed(km/h),Alarm start time,Alarm end time,Alarm duration,StartDate,MonthYear,WeekYear
16890.0,301,Harsh Braking,30,2024-03-05 23:59:55,2024-03-05 23:59:59,4,2024-03-05,03-2024,10-2024
11689.0,180,Forward Collision Warning,23,2024-03-05 23:59:54,2024-03-05 23:59:56,2,2024-03-05,03-2024,10-2024
26754.0,,Harsh Braking,33,2024-03-05 23:59:53,2024-03-05 23:59:57,4,2024-03-05,03-2024,10-2024
24052.0,,Harsh Braking,31,2024-03-05 23:59:51,2024-03-05 23:59:56,5,2024-03-05,03-2024,10-2024
32623.0,178,Harsh Braking,28,2024-03-05 23:59:49,2024-03-05 23:59:53,4,2024-03-05,03-2024,10-2024
23555.0,190,Harsh Braking,0,2024-03-05 23:59:48,2024-03-05 23:59:53,5,2024-03-05,03-2024,10-2024
31831.0,188,Headway Monitoring Alert,43,2024-03-05 23:59:48,2024-03-05 23:59:56,8,2024-03-05,03-2024,10-2024
21660.0,913,Headway Monitoring Alert,44,2024-03-05 23:59:48,2024-03-05 23:59:48,0,2024-03-05,03-2024,10-2024
21103.0,901M,Harsh Braking,9,2024-03-05 23:59:47,2024-03-05 23:59:50,3,2024-03-05,03-2024,10-2024
21660.0,913,Forward Collision Warning,44,2024-03-05 23:59:46,2024-03-05 23:59:48,2,2024-03-05,03-2024,10-2024
23304.0,67,Harsh Braking,4,2024-03-05 23:59:44,2024-03-05 23:59:48,4,2024-03-05,03-2024,10-2024
35313.0,178,Harsh Braking,34,2024-03-05 23:59:44,2024-03-05 23:59:47,3,2024-03-05,03-2024,10-2024
21660.0,913,Forward Collision Warning,44,2024-03-05 23:59:43,2024-03-05 23:59:46,3,2024-03-05,03-2024,10-2024
35452.0,911,Harsh Braking,9,2024-03-05 23:59:42,2024-03-05 23:59:46,4,2024-03-05,03-2024,10-2024
20494.0,187,Harsh Braking,15,2024-03-05 23:59:42,2024-03-05 23:59:48,6,2024-03-05,03-2024,10-2024
21996.0,61,Headway Monitoring Alert,59,2024-03-05 23:59:41,2024-03-05 23:59:46,5,2024-03-05,03-2024,10-2024
34580.0,,Fatigue Alert,60,2024-03-05 23:59:40,2024-03-05 23:59:48,8,2024-03-05,03-2024,10-2024
20730.0,67,Harsh Braking,43,2024-03-05 23:59:40,2024-03-05 23:59:45,5,2024-03-05,03-2024,10-2024
20246.0,67,Forward Collision Warning,30,2024-03-05 23:59:33,2024-03-05 23:59:39,6,2024-03-05,03-2024,10-2024
20471.0,172,Harsh Braking,28,2024-03-05 23:59:32,2024-03-05 23:59:37,5,2024-03-05,03-2024,10-2024
34484.0,,Harsh Braking,18,2024-03-05 23:59:32,2024-03-05 23:59:36,4,2024-03-05,03-2024,10-2024
17860.0,110,Fatigue Alert,52,2024-03-05 23:59:32,2024-03-05 23:59:42,10,2024-03-05,03-2024,10-2024
21338.0,911,Harsh Braking,17,2024-03-05 23:59:28,2024-03-05 23:59:31,3,2024-03-05,03-2024,10-2024
73818.0,,Harsh Braking,8,2024-03-05 23:59:28,2024-03-05 23:59:33,5,2024-03-05,03-2024,10-2024
20471.0,172,Harsh Braking,43,2024-03-05 23:59:27,2024-03-05 23:59:31,4,2024-03-05,03-2024,10-2024
35016.0,976,Harsh Braking,13,2024-03-05 23:59:26,2024-03-05 23:59:31,5,2024-03-05,03-2024,10-2024
21129.0,188,Yawn,23,2024-03-05 23:59:25,2024-03-05 23:59:34,9,2024-03-05,03-2024,10-2024
21996.0,61,Headway Monitoring Alert,46,2024-03-05 23:59:24,2024-03-05 23:59:29,5,2024-03-05,03-2024,10-2024
20471.0,172,Harsh Acceleration,55,2024-03-05 23:59:23,2024-03-05 23:59:27,4,2024-03-05,03-2024,10-2024
34580.0,,Fatigue Alert,59,2024-03-05 23:59:23,2024-03-05 23:59:30,7,2024-03-05,03-2024,10-2024
14410.0,178,Harsh Braking,22,2024-03-05 23:59:23,2024-03-05 23:59:26,3,2024-03-05,03-2024,10-2024
74277.0,,Pedestrian Collision Alert,36,2024-03-05 23:59:23,2024-03-05 23:59:30,7,2024-03-05,03-2024,10-2024
34579.0,970,Forward Collision Warning,36,2024-03-05 23:59:22,2024-03-05 23:59:30,8,2024-03-05,03-2024,10-2024
23889.0,302,Harsh Braking,7,2024-03-05 23:59:21,2024-03-05 23:59:24,3,2024-03-05,03-2024,10-2024
26086.0,,Yawn,57,2024-03-05 23:59:20,2024-03-05 23:59:28,8,2024-03-05,03-2024,10-2024
22550.0,,Harsh Braking,40,2024-03-05 23:59:18,2024-03-05 23:59:22,4,2024-03-05,03-2024,10-2024
16413.0,991,Harsh Braking,17,2024-03-05 23:59:16,2024-03-05 23:59:19,3,2024-03-05,03-2024,10-2024
32623.0,178,Harsh Braking,29,2024-03-05 23:59:16,2024-03-05 23:59:19,3,2024-03-05,03-2024,10-2024
20939.0,,Harsh Braking,27,2024-03-05 23:59:15,2024-03-05 23:59:19,4,2024-03-05,03-2024,10-2024
27943.0,172,Harsh Braking,23,2024-03-05 23:59:15,2024-03-05 23:59:20,5,2024-03-05,03-2024,10-2024
22440.0,,Yawn,43,2024-03-05 23:59:14,2024-03-05 23:59:22,8,2024-03-05,03-2024,10-2024
21811.0,61,Forward Collision Warning,27,2024-03-05 23:59:14,2024-03-05 23:59:25,11,2024-03-05,03-2024,10-2024
24462.0,912B,Harsh Braking,3,2024-03-05 23:59:14,2024-03-05 23:59:17,3,2024-03-05,03-2024,10-2024
22760.0,180,Headway Monitoring Alert,55,2024-03-05 23:59:13,2024-03-05 23:59:17,4,2024-03-05,03-2024,10-2024
20939.0,,Forward Collision Warning,50,2024-03-05 23:59:12,2024-03-05 23:59:19,7,2024-03-05,03-2024,10-2024
35636.0,307,Harsh Braking,16,2024-03-05 23:59:11,2024-03-05 23:59:15,4,2024-03-05,03-2024,10-2024
34791.0,911,Harsh Braking,9,2024-03-05 23:59:11,2024-03-05 23:59:15,4,2024-03-05,03-2024,10-2024
74634.0,67,Harsh Braking,5,2024-03-05 23:59:10,2024-03-05 23:59:14,4,2024-03-05,03-2024,10-2024
14758.0,176,Harsh Braking,11,2024-03-05 23:59:07,2024-03-05 23:59:12,5,2024-03-05,03-2024,10-2024
21996.0,61,Forward Collision Warning,24,2024-03-05 23:59:06,2024-03-05 23:59:10,4,2024-03-05,03-2024,10-2024
21660.0,913,Harsh Braking,12,2024-03-05 23:59:06,2024-03-05 23:59:11,5,2024-03-05,03-2024,10-2024
20246.0,67,Harsh Acceleration,44,2024-03-05 23:59:05,2024-03-05 23:59:08,3,2024-03-05,03-2024,10-2024
21113.0,962,Harsh Braking,5,2024-03-05 23:59:05,2024-03-05 23:59:10,5,2024-03-05,03-2024,10-2024
14410.0,178,Harsh Acceleration,49,2024-03-05 23:59:03,2024-03-05 23:59:06,3,2024-03-05,03-2024,10-2024
35449.0,,Forward Collision Warning,47,2024-03-05 23:59:03,2024-03-05 23:59:10,7,2024-03-05,03-2024,10-2024
20146.0,903,Harsh Braking,11,2024-03-05 23:59:03,2024-03-05 23:59:08,5,2024-03-05,03-2024,10-2024
21660.0,913,Forward Collision Warning,40,2024-03-05 23:59:03,2024-03-05 23:59:06,3,2024-03-05,03-2024,10-2024
27943.0,172,Harsh Acceleration,60,2024-03-05 23:59:01,2024-03-05 23:59:05,4,2024-03-05,03-2024,10-2024
35449.0,,Headway Monitoring Alert,47,2024-03-05 23:59:01,2024-03-05 23:59:06,5,2024-03-05,03-2024,10-2024
22550.0,,Sharp Cornering,40,2024-03-05 23:59:01,2024-03-05 23:59:04,3,2024-03-05,03-2024,10-2024
14649.0,972M,Harsh Braking,1,2024-03-05 23:58:58,2024-03-05 23:59:02,4,2024-03-05,03-2024,10-2024
18683.0,307,Forward Collision Warning,21,2024-03-05 23:58:57,2024-03-05 23:59:02,5,2024-03-05,03-2024,10-2024
24462.0,912B,Forward Collision Warning,38,2024-03-05 23:58:57,2024-03-05 23:59:10,13,2024-03-05,03-2024,10-2024
30061.0,176,Harsh Braking,28,2024-03-05 23:58:56,2024-03-05 23:58:59,3,2024-03-05,03-2024,10-2024
20494.0,187,Harsh Acceleration,35,2024-03-05 23:58:55,2024-03-05 23:58:59,4,2024-03-05,03-2024,10-2024
34482.0,979,Harsh Braking,0,2024-03-05 23:58:53,2024-03-05 23:58:56,3,2024-03-05,03-2024,10-2024
34815.0,75,Harsh Braking,14,2024-03-05 23:58:53,2024-03-05 23:58:56,3,2024-03-05,03-2024,10-2024
28253.0,110,Harsh Acceleration,57,2024-03-05 23:58:51,2024-03-05 23:58:55,4,2024-03-05,03-2024,10-2024
74634.0,67,Harsh Braking,26,2024-03-05 23:58:51,2024-03-05 23:58:55,4,2024-03-05,03-2024,10-2024
20935.0,,Harsh Braking,15,2024-03-05 23:58:50,2024-03-05 23:58:54,4,2024-03-05,03-2024,10-2024
19036.0,176,Forward Collision Warning,28,2024-03-05 23:58:50,2024-03-05 23:58:57,7,2024-03-05,03-2024,10-2024
18271.0,,Harsh Braking,0,2024-03-05 23:58:49,2024-03-05 23:58:53,4,2024-03-05,03-2024,10-2024
10055.0,903,Harsh Braking,25,2024-03-05 23:58:49,2024-03-05 23:58:52,3,2024-03-05,03-2024,10-2024
31655.0,110,Harsh Braking,15,2024-03-05 23:58:49,2024-03-05 23:58:51,2,2024-03-05,03-2024,10-2024
36131.0,913,Harsh Braking,7,2024-03-05 23:58:49,2024-03-05 23:58:53,4,2024-03-05,03-2024,10-2024
20471.0,172,Harsh Braking,20,2024-03-05 23:58:48,2024-03-05 23:58:53,5,2024-03-05,03-2024,10-2024
21660.0,913,Sharp Cornering,43,2024-03-05 23:58:48,2024-03-05 23:58:53,5,2024-03-05,03-2024,10-2024
,900,Harsh Braking,7,2024-03-05 23:58:48,2024-03-05 23:58:51,3,2024-03-05,03-2024,10-2024
18489.0,61,Harsh Braking,15,2024-03-05 23:58:46,2024-03-05 23:58:51,5,2024-03-05,03-2024,10-2024
15290.0,,Harsh Braking,17,2024-03-05 23:58:46,2024-03-05 23:58:50,4,2024-03-05,03-2024,10-2024
14410.0,178,Harsh Braking,30,2024-03-05 23:58:45,2024-03-05 23:58:50,5,2024-03-05,03-2024,10-2024
15395.0,,Harsh Braking,32,2024-03-05 23:58:45,2024-03-05 23:58:49,4,2024-03-05,03-2024,10-2024
28253.0,110,Harsh Acceleration,57,2024-03-05 23:58:45,2024-03-05 23:58:50,5,2024-03-05,03-2024,10-2024
20471.0,172,Harsh Acceleration,41,2024-03-05 23:58:42,2024-03-05 23:58:46,4,2024-03-05,03-2024,10-2024
21660.0,913,Harsh Braking,43,2024-03-05 23:58:42,2024-03-05 23:58:46,4,2024-03-05,03-2024,10-2024
