date_of_accident,employee_no
2024-01-02,73791
2024-01-03,72265
2024-01-07,35089
2024-01-10,34965
2024-01-11,19279
2024-01-11,34246
2024-01-11,67704
2024-01-12,35745
2024-01-14,12056
2024-01-15,33353
2024-01-16,35261
2024-01-17,35752
2024-01-18,67654
2024-01-19,20009
2024-01-19,22605
2024-01-19,34992
2024-01-20,23077
2024-01-21,25463
2024-01-22,23543
2024-01-23,32200
2024-01-24,50328
2024-01-26,14461
2024-01-26,24214
2024-01-26,10159
2024-01-26,71521
2024-01-26,68952
2024-01-27,25450
2024-01-28,32712
2024-01-28,11550
2024-01-28,34736
2024-01-29,63542
2024-01-30,27610
2024-01-31,26878
2024-02-01,18170
2024-02-01,34437
2024-02-02,35055
2024-02-03,21466
2024-02-04,22383
2024-02-04,21996
2024-02-04,36249
2024-02-04,71597
2024-02-06,67429
2024-02-06,34581
2024-02-06,34973
2024-02-06,24945
2024-02-07,36501
2024-02-08,23304
2024-02-09,72143
2024-02-13,20828
2024-02-13,70070
2024-02-14,67445
2024-02-14,27096
2024-02-15,34846
2024-02-15,25616
2024-02-17,34483
2024-02-17,35191
2024-02-20,22879
2024-02-21,34928
2024-02-22,73081
2024-02-22,20417
2024-02-23,21115
2024-02-23,25462
2024-02-24,34052
2024-02-24,10912
2024-02-24,21466
2024-02-24,15567
2024-02-25,18459
2024-02-26,34791
2024-02-26,21327
2024-02-26,34244
2024-02-27,32200
2024-02-27,34119
2024-02-28,23888
2024-02-29,23652
2024-03-02,20299
2024-03-03,27185
2024-03-03,34641
2024-03-04,22690
2024-03-04,28653
2024-03-04,19420
2024-03-05,34760
2024-03-06,72749
2024-03-06,22893
2024-03-07,23767
2024-03-07,67315
2024-03-07,35010
2024-03-09,19931
2024-03-09,23212
2024-03-10,24014
2024-03-12,67511
2024-03-12,74662
2024-03-12,67386
2024-03-14,72749
2024-03-15,34538
2024-03-15,34121
2024-03-16,13209
2024-03-16,23077
2024-03-17,35014
2024-03-17,74115
2024-03-17,11550
2024-03-17,35448
2024-03-18,33579
2024-03-19,74348
2024-03-19,35259
2024-03-19,34198
2024-03-19,35191
2024-03-19,23477
2024-03-20,21579
2024-03-23,74277
2024-03-25,34441
2024-03-25,71633
2024-03-26,26814
2024-03-26,36682
2024-03-28,71533
2024-03-28,72519
2024-03-31,36735
2024-03-31,32642
2024-04-01,10418
2024-04-01,26372
2024-04-02,71769
2024-04-02,11830
2024-04-03,23137
2024-04-04,14062
2024-04-06,74329
2024-04-06,36088
2024-04-07,63157
2024-04-07,29632
2024-04-09,27107
2024-04-09,34969
2024-04-09,21469
2024-04-10,50856
2024-04-11,20712
2024-04-13,10230
2024-04-15,30447
2024-04-15,32029
2024-04-17,32382
2024-04-18,72419
2024-04-19,67213
2024-04-19,67290
2024-04-20,71533
2024-04-21,22447
2024-04-21,18459
2024-04-22,20817
2024-04-22,34912
2024-04-23,28831
2024-04-23,21119
2024-04-23,24023
2024-04-23,67417
2024-04-24,25635
2024-04-24,21004
2024-04-25,67423
2024-04-26,30788
2024-04-26,24327
2024-04-26,34852
2024-04-27,37113
2024-04-27,34798
2024-04-30,18337
2024-04-30,36814
2024-05-01,34440
2024-05-02,35269
2024-05-03,34198
2024-05-04,32194
2024-05-05,10914
2024-05-06,24327
2024-05-06,35458
2024-05-06,36083
2024-05-07,15274
2024-05-07,35089
2024-05-07,12361
2024-05-08,67377
2024-05-08,12827
2024-05-08,32698
2024-05-10,72265
2024-05-10,34912
2024-05-10,72045
2024-05-12,73222
2024-05-12,67825
2024-05-13,26151
2024-05-13,67894
2024-05-14,13200
2024-05-15,64035
2024-05-15,24227
2024-05-15,28660
2024-05-16,22615
2024-05-17,37273
2024-05-17,34121
2024-05-17,15608
2024-05-18,73824
2024-05-18,25709
2024-05-20,28594
2024-05-20,67229
2024-05-20,35754
2024-05-20,26935
2024-05-20,22690
2024-05-20,11366
2024-05-24,20707
2024-05-24,74277
2024-05-24,34735
2024-05-25,34639
2024-05-25,34482
2024-05-26,17907
2024-05-27,23541
2024-05-27,67323
2024-05-27,16539
2024-05-28,31749
2024-05-29,26371
