speed(km_h),alarm_duration,num_alarm_rows,driver_id,At_Risk
105,23,7,10055,0
5,8,2,10168,0
131,12,3,10362,0
143,26,6,10417,0
10,4,1,10444,0
111,7,2,10524,0
22,12,3,10527,0
54,9,2,10914,1
21,6,1,10955,0
89,28,4,11182,0
94,27,6,11234,0
275,34,11,11689,0
12,4,1,11723,0
115,39,5,11942,0
83,11,2,11956,0
0,6,2,12056,1
641,46,17,12224,0
65,10,2,12263,0
151,28,5,12341,0
136,31,8,12362,0
88,20,5,12517,0
88,21,5,13203,0
8,5,1,13336,0
59,12,4,13399,0
65,12,3,13526,0
163,31,7,14101,0
443,86,9,14133,0
84,12,3,14181,0
75,19,5,14295,0
455,70,17,14410,0
22,5,1,14461,1
285,44,7,14649,0
128,29,7,14758,0
253,33,7,14766,0
239,32,9,14986,0
527,74,14,15125,0
198,34,7,15259,0
31,4,1,15287,0
129,29,5,15290,0
88,11,2,15395,0
872,185,30,15562,0
504,107,16,15575,0
215,56,11,15599,0
45,12,3,15714,0
60,17,3,16408,0
228,57,13,16413,0
235,27,6,16539,1
93,17,4,16658,0
120,17,4,16890,0
29,7,2,17182,0
138,26,7,17432,0
341,33,9,17688,0
60,9,3,17709,0
83,43,2,17776,0
610,88,11,17860,0
282,26,6,18176,0
130,24,5,18194,0
127,27,7,18271,0
12,4,1,18321,0
43,9,2,18489,0
40,12,3,18683,0
21,16,4,18689,0
300,65,8,18720,0
19,3,1,18773,0
55,13,3,18825,0
16,3,1,18891,0
18,3,1,18912,0
27,5,1,18925,0
53,14,3,18957,0
119,22,6,18959,0
85,19,4,18977,0
44,8,1,19029,0
230,57,8,19036,0
102,21,5,19125,0
29,5,1,19127,0
543,54,19,19262,0
408,51,16,19337,0
15,5,1,19356,0
233,45,10,19420,1
12,3,1,19447,0
93,22,5,19610,0
163,38,7,19873,0
22,8,2,19931,1
80,12,3,20014,0
58,17,4,20023,0
3,4,1,20077,0
127,20,6,20083,0
118,14,2,20085,0
161,31,8,20135,0
85,24,5,20146,0
299,62,13,20246,0
60,6,2,20299,1
19,4,1,20353,0
84,14,4,20417,1
392,66,12,20471,0
127,25,6,20480,0
32,9,2,20485,0
671,101,22,20494,0
84,11,2,20564,0
76,13,3,20617,0
220,47,10,20627,0
110,23,4,20655,0
154,40,7,20664,0
172,18,4,20712,1
141,22,5,20730,0
20,5,1,20741,0
54,14,3,20823,0
478,57,12,20847,0
21,9,2,20879,0
151,14,4,20880,0
121,23,6,20881,0
178,24,6,20935,0
187,29,5,20939,0
239,54,10,20944,0
137,15,4,21034,0
44,8,2,21103,0
25,6,2,21104,0
187,26,6,21111,0
263,61,14,21113,0
147,36,6,21115,1
156,35,7,21119,1
23,3,1,21125,0
127,38,6,21129,0
86,21,3,21199,0
34,11,3,21213,0
122,14,4,21291,0
55,19,3,21314,0
460,61,14,21328,0
607,92,23,21338,0
43,7,2,21359,0
123,18,4,21360,0
66,12,4,21362,0
76,28,6,21405,0
57,17,3,21579,1
55,8,1,21598,0
903,86,25,21660,0
62,9,2,21672,0
54,6,2,21786,0
52,6,2,21788,0
402,95,18,21811,0
15,3,1,21895,0
115,16,4,21899,0
147,17,4,21926,0
325,43,10,21996,1
45,12,3,21998,0
17,5,2,22057,0
135,33,6,22058,0
114,20,6,22060,0
130,26,7,22108,0
48,13,3,22153,0
111,28,4,22169,0
12,4,1,22174,0
105,25,6,22274,0
111,12,2,22282,0
39,9,3,22386,0
64,20,3,22427,0
